fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
-0.4426658871470268;0.9955416298835411;0.0;-0.5971450840802941;-0.17289629111039861;-0.2680453384313991;-0.12441119510484058;0.9978;3.51;-0.5816498096885936;9.4;0
-0.161307686892708;1.7712987278570353;0.0;0.5565651968975123;0.78620412719211;0.9938522182685177;0.8549537533592143;0.9968;3.2;0.3951399544057439;9.8;0
-0.161307686892708;1.2698013858804238;0.04;0.15237248353409757;0.5606955422660382;0.19345041631855975;0.5403938815516024;0.997;3.26;0.1837715517222958;9.8;0
1.5225815731539516;-1.550049812042203;0.56;-0.5971450840802941;-0.22611251105628868;0.3851150864015079;0.6936994135348278;0.998;3.16;-0.392317652620245;9.8;1
-0.4426658871470268;0.9955416298835411;0.0;-0.5971450840802941;-0.17289629111039861;-0.2680453384313991;-0.12441119510484058;0.9978;3.51;-0.5816498096885936;9.4;0
-0.4426658871470268;0.8029286609380066;0.0;-0.837192758652635;-0.22611251105628868;-0.02192375006006342;0.1074982837408952;0.9978;3.51;-0.5816498096885936;9.4;0
-0.09467742623843003;0.49799590835770036;0.06;-1.4042877017621742;-0.5664021734365311;0.19345041631855975;0.6692002024420094;0.9964;3.3;-1.7395012051947243;9.4;0
-0.5169712830165489;0.753478446233236;0.0;-3.0454898942011215;-0.8147062178101099;0.19345041631855975;-0.7999124988970828;0.9946;3.39;-1.6054181388677944;10.0;1
-0.161307686892708;0.39178165755432315;0.02;-0.38099806352754034;-0.33546781773829554;-0.5557118500207225;-1.0116505505989772;0.9968;3.36;-0.4854670471750666;9.5;1
-0.37000047920409557;-0.05817477426989392;0.36;2.1168983318651367;-0.448845738146108;0.3851150864015079;1.4751684493866792;0.9978;3.35;1.0763253303800535;10.5;0
-1.0006624697126778;0.39178165755432315;0.08;-0.837192758652635;0.7502616152545574;0.19345041631855975;0.8105988297194184;0.9959;3.28;-0.7835976722144593;9.2;0
-0.37000047920409557;-0.05817477426989392;0.36;2.1168983318651367;-0.448845738146108;0.3851150864015079;1.4751684493866792;0.9978;3.35;1.0763253303800535;10.5;0
-2.099738413490422;0.5761183436493137;0.0;-1.4042877017621742;0.43861854480228163;0.29190409244067644;0.6692002024420094;0.9943;3.58;-0.9991824238537623;9.9;0
-0.161307686892708;0.5502215014945319;0.29;-1.4042877017621742;1.2831178213717205;-0.5557118500207225;-0.349509846211052;0.9974;3.26;2.687199892540345;9.1;0
0.501914891170902;0.6018728639146672;0.18;1.480392558110173;2.3115919822170197;2.218696713332868;2.0010579059137847;0.9986;3.16;1.4179142108882137;9.2;0
0.501914891170902;0.6018728639146672;0.19;1.528057627589848;2.2521672499975334;2.1851301320474477;2.0318527142065412;0.9986;3.17;1.5969213099855772;9.2;0
